,100,1000,10000,20000,a100,a1000,a10000,a20000
0,367.397648,370.538614,370.268542,370.299589,357.372161,359.328785,358.746391,359.015685
1,248.005387,247.061346,247.186788,247.238066,199.02287,198.953643,198.997617,199.052243
2,529.671381,531.11684,531.344843,531.405742,492.695006,489.656678,489.648598,489.515954
3,1098.63282,1095.744646,1094.349956,1095.24299,1060.394364,1065.424002,1064.359773,1064.135719
4,1638.196176,1637.135944,1637.466338,1637.793125,1601.593426,1608.788798,1608.445282,1608.740616
